;,Ala Mhigan Mustard,Herb & Nut,23.0,5.0,"Eastern Thanalan (14, 21)",25.0
Royal Kukuru - (92%)1,La Noscean Orange,Fruit,7.0,5.0,"Lower La Noscea (32, 16)",10.0
"Royal Kukuru - (92%)1,2",Garlic Cloves,Herb & Nut,11.0,5.0,"Western Thanalan (22, 22)",10.0
Royal Kukuru - (92%),Lavender,Herb & Nut,12.0,5.0,"Central Shroud (21, 23)",15.0
Royal Kukuru - (92%),Windlight,Elemental,1.0,1.0,"Central Shroud (21, 23)",15.0
,Levinlight,Elemental,1.0,1.0,"Central Thanalan (25, 19)",15.0
,Earthlight,Elemental,1.0,1.0,"Lower La Noscea (25, 25)",15.0
,Lowland Grape,Fruit,11.0,5.0,"Lower La Noscea (26, 22)",15.0
,Olive,Vegetable,13.0,5.0,"Lower La Noscea (26, 22)",15.0
,La Noscean Lettuce,Vegetable,13.0,5.0,"Middle La Noscea (22, 19)",15.0
,Firelight,Elemental,1.0,1.0,"Middle La Noscea (23, 18)",15.0
,Wild Onion Set,Vegetable,12.0,5.0,"Western Thanalan (22, 22)",15.0
,Coerthan Carrot,Vegetable,13.0,5.0,"Western Thanalan (23, 20)",15.0
,Waterlight,Elemental,1.0,1.0,"Western Thanalan (24, 18)",15.0
,Faerie Apple,Fruit,16.0,5.0,"East Shroud (15, 27)",20.0
,Popoto Set,Vegetable,18.0,5.0,"Eastern Thanalan (16, 29)",20.0
,Sun Lemon,Fruit,17.0,5.0,"Lower La Noscea (35, 16)",20.0
,Icelight,Elemental,1.0,1.0,"Western La Noscea (31, 29)",20.0
,Paprika,Vegetable,11.0,5.0,"Western La Noscea (32, 29)",20.0
,Millioncorn,Vegetable,25.0,5.0,"Eastern Thanalan (14, 20)",25.0
,Chamomile,Herb & Nut,24.0,5.0,"Upper La Noscea (14, 25)",25.0
,Pixie Plum,Fruit,21.0,5.0,"Upper La Noscea (14, 25)",25.0
,Midland Cabbage,Vegetable,28.0,5.0,"North Shroud (22, 26)",30.0
,Wizard Eggplant,Vegetable,27.0,5.0,"North Shroud (22, 26)",30.0
,Mandrake,Herb & Nut,33.0,5.0,"Eastern La Noscea (26, 29)",35.0
,Midland Basil,Herb & Nut,32.0,5.0,"Eastern La Noscea (26, 29)",35.0
,Linseed,Herb & Nut,31.0,5.0,"South Shroud (21, 28)",35.0
,Almond,Herb & Nut,40.0,5.0,"Eastern La Noscea (19, 25)",40.0
,Blood Currant,Fruit,36.0,5.0,"South Shroud (21, 28)",40.0
,Mirror Apple,Fruit,42.0,5.0,"Coerthas Central Highlands (22, 18)",45.0
,Rolanberry,Fruit,43.0,5.0,"Upper La Noscea (34, 24)",45.0
,Old World Fig,Fruit,115.0,5.0,"Dravanian Forelands (27, 14) (Slot 1 @ 2AM/PM)",50.0
,Dzemael Tomato,Vegetable,51.0,5.0,Eastern La Noscea (Slot 1 @ 1PM),50.0
,Honey Lemon,Fruit,51.0,6.0,Eastern La Noscea (Slot 1 @ 5AM),50.0
,Prickly Pineapple,Fruit,51.0,5.0,Eastern La Noscea (Slot 1 @ 9AM),50.0
,Pearl Sprout,Vegetable,125.0,5.0,"Coerthas Western Highlands (31, 20) (Slot 2 @ 10AM/PM)",55.0
,Coerthan Tea,Herb & Nut,125.0,5.0,"Coerthas Western Highlands (31, 20) (Slot 3 @ 10AM/PM)",55.0
,Apricot,Deluxe Fruit,55.0,6.0,Crossbreed Only,--
,Azeyma Rose,Deluxe Herb & Nut,55.0,6.0,Crossbreed Only,--
,Blood Pepper,Deluxe Vegetable,160.0,7.0,Crossbreed Only,--
,Broombush,Deluxe Herb & Nut,70.0,7.0,Crossbreed Only,--
,Chive,Deluxe Vegetable,136.0,5.0,Crossbreed Only,--
,Curiel Root,Chocobo Food,55.0,5.0,Crossbreed Only,--
,Dalamud Popoto Set,Deluxe Vegetable,55.0,6.0,Crossbreed Only,--
,Eggplant Knight,Minion,70.0,6.0,Crossbreed Only,--
,Garlic Jester,Minion,70.0,6.0,Crossbreed Only,--
,Glazenut,Deluxe Fruit,70.0,7.0,Crossbreed Only,--
,Gysahl Greens,Chocobo Food,20.0,3.0,Crossbreed Only,--
,Halone Gerbera,Deluxe Herb & Nut,55.0,6.0,Crossbreed Only,--
,Jute,Deluxe Herb & Nut,70.0,7.0,Crossbreed Only,--
,La Noscean Leek,Deluxe Vegetable,55.0,6.0,Crossbreed Only,--
,Mandragora Queen,Minion,70.0,6.0,Crossbreed Only,--
,Mimett Gourd,Chocobo Food,55.0,5.0,Crossbreed Only,--
,Nymeia Lily,Deluxe Herb & Nut,55.0,6.0,Crossbreed Only,--
,Onion Prince,Minion,70.0,6.0,Crossbreed Only,--
,Pahsana Fruit,Chocobo Food,55.0,5.0,Crossbreed Only,--
,Pearl Roselle,Deluxe Herb & Nut,55.0,6.0,Crossbreed Only,--
,Royal Fern,Deluxe Vegetable,1.0,5.0,Crossbreed Only,--
,Royal Kukuru,Deluxe Fruit,55.0,6.0,Crossbreed Only,--
,Shroud Tea,Deluxe Herb & Nut,55.0,6.0,Crossbreed Only,--
,Star Anise,Deluxe Herb & Nut,55.0,6.0,Crossbreed Only,--
,Sylkis Bud,Chocobo Food,55.0,5.0,Crossbreed Only,--
,Tantalplant,Chocobo Food,55.0,5.0,Crossbreed Only,--
,Thavnairian Onion,Chocobo Food,70.0,10.0,Crossbreed Only,--
,Tomato King,Minion,70.0,6.0,Crossbreed Only,--
,Umbrella Fig,Deluxe Fruit,70.0,5.0,Crossbreed Only,--
,Cloudsbreath,Deluxe Herb & Nut,1.0,5.0,Crossbreed Only / Airship Ventures (Rank 50),--
,Pearl Ginger Root,Herb & Nut,24.0,5.0,"Eastern Thanalan (14, 21)",--
,Voidrake,Herb & Nut,55.0,1.0,GC Seals / Resident Caretaker,--
,Cieldalaes Pineapple,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,Doman Plum,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,Han Lemon,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,Mamook Pear,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,O'Ghomoro Berry,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,Valfruit,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,Xelphatol Apple,Chocobo Food,45.0,2.0,Hunt Billmaster,--
,Cloud Acorn,Herb & Nut,148.0,1.0,Material Supplier (Housing District),--
,Krakka Root,Chocobo Food,70.0,3.0,Material Supplier (Housing District),--
,Seed Name,Seed Type,iLvl,Grow Time,Harvest Location,Node Level
,Prickly Pineapple,Fruit,,,"Eastern La Noscea [Costa del Sol] (30,26) at 9AM ",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
