Type of Seed,Node Level,Harvest Locations,Vendor Location,Ventures,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fruit Seeds,,,,,,,,,,,,,,,,,,,
Blood Currant,40.0,"South Shroud (21, 28)",,,,,,,,,,,,,,,,,
Faerie Apple,20.0,"East Shroud (15, 27)",,,,,,,,,,,,,,,,,
Honey Lemon,50.0,Eastern La Noscea @ 5AM (Slot 1),,,,,,,,,,,,,,,,,
La Noscean Orange,10.0,"Lower La Noscea (32, 16)",Culinarian (Jossy),,,,,,,,,,,,,,,,
Lowland Grape,15.0,"Lower La Noscea (26, 22)",Culinarian (Jossy) / Trade Vendors,,,,,,,,,,,,,,,,
Mirror Apple,45.0,"Coerthas (22, 18)",,,,,,,,,,,,,,,,,
Pixie Plum,25.0,"Upper La Noscea (14, 25)",,Botany,,,,,,,,,,,,,,,
Prickly Pineapple,50.0,Eastern La Noscea @ 9AM (Slot 1),,,,,,,,,,,,,,,,,
Rolanberry,45.0,"Upper La Noscea (34, 24)",,,,,,,,,,,,,,,,,
Sun Lemon,20.0,"Lower La Noscea (35, 16)",Sahigan Beast Tribe,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Herb & Nut Seeds,,,,,,,,,,,,,,,,,,,
Ala Mhigan Mustard,25.0,"Eastern Thanalan (14, 21)",,,,,,,,,,,,,,,,,
Almond,40.0,"Eastern La Noscea (19, 25)",,,,,,,,,,,,,,,,,
Black Pepper,15.0,"Central Thanalan (25, 20)",Culinarian (Jossy) / Sahigan Beast Tribe,,,,,,,,,,,,,,,,
Chamomile,25.0,"Upper La Noscea (14, 25)",,Botany,,,,,,,,,,,,,,,
Lavender,15.0,"Central Shroud (21, 23)",,,,,,,,,,,,,,,,,
Linseed (Flax),35.0,"South Shroud (21, 28)",,,,,,,,,,,,,,,,,
Mandrake,35.0,"Eastern La Noscea (26, 29)",,,,,,,,,,,,,,,,,
Midland Basil,35.0,"Eastern La Noscea (26, 29)",Sahigan Beast Tribe,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Vegetable Seeds,,,,,,,,,,,,,,,,,,,
Coerthas Carrot,15.0,"Western Thanalan (23, 20)",Culinarian (Jossy),,,,,,,,,,,,,,,,
Dzemael Tomato,50.0,Eastern La Noscea @ 1PM (Slot 1),,,,,,,,,,,,,,,,,
La Noscean Lettuce,15.0,"Middle La Noscea (22, 19)",Culinarian (Jossy),,,,,,,,,,,,,,,,
Midland Cabbage,30.0,"North Shroud (22, 26)",,,,,,,,,,,,,,,,,
Millioncorn,25.0,"Eastern Thanalan (14, 20)",,,,,,,,,,,,,,,,,
Olive,15.0,"Lower La Noscea (26, 22)",Culinarian (Jossy),,,,,,,,,,,,,,,,
Paprika,20.0,"Western La Noscea (32, 29)",Culinarian (Jossy),,,,,,,,,,,,,,,,
Wizard Eggplant,30.0,"North Shroud (22, 26)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Chocobo Food,,,,,,,,,,,,,,,,,,,
Krakka Root,--,--,Material Supplier (House District),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
