Seed / Plant,Crop Yield,Seed Yield,Grow Time (Indoor),Wilt Time (hours),All plants wither (die) after 24h of wilting (turning purple) without being tended,,,,,,,,,,,,,,,,,,
Ala Mhigan Mustard,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Allagan Melon,,0 / 0 / 0 / 0,,24.0,,,,,,,,,,,,,,,,,,,
Almond,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Althyk Lavender,2 / 3 / 3 / 3,0 / 0 / 0 /0,,-,,,,,,,,,,,,,,,,,,,
Apricot,5 / 6 / 7 / 10,1 / 2 / 3 / 5,,36.0,,,,,,,,,,,,,,,,,,,
Arum,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Azeyma Rose,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,36.0,,,,,,,,,,,,,,,,,,,
Black Pepper,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Blood Currant,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Blood Pepper,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Brightlily,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Broombush,1 / 1 / 1 /1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Campanula,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Chamomile,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Chive,2 / 2 / 3 / 4,1 / 1 / 1 / 2,,48.0,,,,,,,,,,,,,,,,,,,
Cieldalaes Pineapple,18 / 23 / 27 / 36,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Cloud Acorn,5 / 6 / 7 / 10,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Cloudsbreath,1 / 1 / 1 / 2,1 / 1 / 1 / 2,,48.0,,,,,,,,,,,,,,,,,,,
Coerthan Tea,3 / 3 / 4 / 6,0 / 0 / 0 / 0,,48.0,,,,,,,,,,,,,,,,,,,
Coerthas Carrot,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Cosmos,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Curiel Root,9 / 11 / 13 / 18,1 / 3 / 5 / 9,,48.0,,,,,,,,,,,,,,,,,,,
Dahlia,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Daisy,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Dalamud Popoto Set,5 / 6 / 7 / 10,1 / 2 / 3 / 5,,36.0,,,,,,,,,,,,,,,,,,,
Doman Plum,18 / 23 / 27 / 36,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Dzemael Tomato,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Earthlight,50 / 65 / 80 / 100,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
